"","id","Weight","CombinedEffort","CombinedSightings","ENC_Rate"
"724",2536,1,9,0,0
"725",2535,1,0,0,0
"726",2534,1,0,0,0
"727",2533,1,0,0,0
"728",2532,1,0,0,0
"729",2531,1,0,0,0
"730",2530,1,0,0,0
"731",2529,1,0,0,0
"732",2528,1,0,0,0
"733",2527,1,0,0,0
"734",2526,1,7,0,0
"735",2525,1,0,0,0
"736",2524,1,0,0,0
"737",2523,1,0,0,0
"738",2522,1,6,0,0
"739",2521,1,6,0,0
"740",2520,1,0,0,0
"741",2519,1,0,0,0
"742",2518,1,0,0,0
"743",6610,1,0,0,0
"744",6609,1,0,0,0
"745",6608,1,0,0,0
"746",6607,1,0,0,0
"747",6606,1,0,0,0
"748",6605,1,0,0,0
"749",6604,1,0,0,0
"750",6603,1,0,0,0
"751",6602,1,0,0,0
"752",6601,1,0,0,0
"753",6600,1,0,0,0
"754",6599,1,0,0,0
"755",6598,1,0,0,0
"756",6597,1,0,0,0
"757",6596,1,0,0,0
"758",6595,1,0,0,0
"759",2367,1,0,0,0
"760",6594,1,0,0,0
"761",2366,1,0,0,0
"762",6593,1,0,0,0
"763",2365,1,0,0,0
"764",6592,1,0,0,0
"765",2364,1,1,0,0
"766",2363,1,4,0,0
"767",2362,1,0,0,0
"768",2361,1,0,0,0
"769",2360,1,0,0,0
"770",2359,1,0,0,0
"771",2358,1,0,0,0
"772",2357,1,0,0,0
"773",2356,1,0,0,0
"774",2355,1,6,0,0
"775",2354,1,0,0,0
"776",2353,1,0,0,0
"777",2352,1,0,0,0
"778",2351,1,13,0,0
"779",2350,1,6,0,0
"780",2349,1,5,0,0
"781",2348,1,0,0,0
"782",2347,1,0,0,0
"783",6437,1,0,0,0
"784",6436,1,0,0,0
"785",6435,1,0,0,0
"786",6434,1,0,0,0
"787",6433,1,0,0,0
"788",6432,1,0,0,0
"789",6431,1,0,0,0
"790",6430,1,0,0,0
"791",6429,1,0,0,0
"792",6428,1,0,0,0
"793",6427,1,0,0,0
"794",6426,1,0,0,0
"795",6425,1,0,0,0
"796",6424,1,0,0,0
"797",6423,1,0,0,0
"798",6422,1,0,0,0
"799",6421,1,0,0,0
"800",6420,1,0,0,0
"801",6419,1,7,0,0
"802",6418,1,0,0,0
"803",6417,1,10,1,0.1
"804",6416,1,9,0,0
"805",6415,1,5,0,0
"806",6414,1,40,0,0
"807",6413,1,48,0,0
"808",6412,1,16044,0,0
"809",6411,1,16050,0,0
"810",6410,1,16061,6,0.000373575742481788
"811",6409,1,16061,3,0.000186787871240894
"812",6408,1,16081,3,0.000186555562465021
"813",6407,1,16047,1,6.23169439770674e-05
"814",6406,1.03570823263896,16054,0,0
"815",6405,51.4334439002628,0,0,0
"816",6523,1,0,0,0
"817",6522,1,0,0,0
"818",6521,1,0,0,0
"819",6520,1,0,0,0
"820",6519,1,0,0,0
"821",6518,1,0,0,0
"822",6517,1,0,0,0
"823",6516,1,0,0,0
"824",6515,1,0,0,0
"825",6514,1,0,0,0
"826",6513,1,0,0,0
"827",6512,1,0,0,0
"828",6511,1,0,0,0
"829",6510,1,0,0,0
"830",6509,1,0,0,0
"831",6508,1,0,0,0
"832",6507,1,0,0,0
"833",6506,1,0,0,0
"834",6505,1,10,0,0
